msec,Exper,T5Diamond,T5DiamondMask,T5DiamondPseudo,T5Mask,T5Pseudomask,T5Square,T5SquareMask,T5SquarePseudomask,OzDiamond,OzDiamondMask,OzDiamondPseudo,OzMask,OzPseudomask,OzSquare,OzSquareMask,OzSquarePseudo,T5Mask_T5SquareMask,T5Pseudomask_T5SquarePseudomask,T5Mask_T5DiamondMask,T5Pseudomask_T5DiamondPseudo,OzMask_OzSquareMask,OzPseudomask_OzSquarePseudo,OzMask_OzDiamondMask,OzPseudomask_OzDiamondPseudo
110,1,.0297073,.179249,-.100011,.0669413,.0337435,.0699715,.23341,.127019,.0150627,.126487,.0882915,.0802822,-.0622966,-.0888961,.257069,.0199943,-.1664687,-.0932755,-.1123077,.1337545,-.1767868,-.0822909,-.0462048,-.1505881
115,1,.0313683,.183955,-.108639,.0584859,.0479018,.0819334,.229883,.155074,.00372748,.150779,.0625785,.0669921,-.0573473,-.106915,.247852,.0734643,-.1713971,-.1071722,-.1254691,.1565408,-.1808599,-.1308116,-.0837869,-.1199258
120,1,.0374866,.182556,-.108674,.0435354,.0610464,.095033,.216766,.179197,-.00932295,.174465,.0397526,.0473996,-.0586852,-.116996,.224913,.127458,-.1732306,-.1181506,-.1390206,.1697204,-.1775134,-.1861432,-.1270654,-.0984378
125,1,.0476108,.175367,-.100085,.0241203,.0738979,.108692,.196273,.197682,-.0223463,.197567,.0221464,.0243034,-.0662482,-.117842,.190056,.179788,-.1721527,-.1237841,-.1512467,.1739829,-.1657526,-.2460362,-.1732636,-.0883946
130,1,.0609519,.163193,-.0834538,.00293203,.0878944,.122033,.170957,.209387,-.0336255,.220204,.0115557,.00101075,-.0788522,-.108959,.146068,.228496,-.16802497,-.1214926,-.16026097,.1713482,-.14505725,-.3073482,-.21919325,-.0904079
135,1,.0764463,.147333,-.0599357,-.0169772,.104829,.134054,.143459,.213894,-.0416623,.242547,.00908931,-.0190158,-.0945292,-.0907361,.0965134,.271983,-.1604362,-.109065,-.1643102,.1647647,-.1155292,-.3665122,-.2615628,-.10361851
140,1,.0928373,.129532,-.0311679,-.0325532,.12641,.143855,.116275,.211572,-.04535,.264773,.0150875,-.0325375,-.110909,-.0644178,.0454479,.309118,-.1488282,-.085162,-.1620852,.1575779,-.0779854,-.420027,-.2973105,-.1259965
145,1,.108753,.111845,.000861749,-.0411076,.153791,.15087,.091545,.203555,-.0441052,.287029,.029135,-.0369192,-.125644,-.0319956,-.0029071,.339353,-.1326526,-.049764,-.1529526,.152929251,-.0340121,-.464997,-.3239482,-.154779
150,1,.122818,.0964569,.0339809,-.0406428,.187215,.155065,.0709092,.19162,-.0379357,.309417,.0501642,-.0304461,-.136749,.00398565,-.0445063,.3628,-.111552,-.00440500000000002,-.1370997,.1532341,.0140602,-.499549,-.3398631,-.1869132
155,1,.13379,.0854631,.0660129,-.0301104,.225909,.157048,.0554227,.177983,-.0274494,.331988,.0766263,-.0125713,-.142844,.0406792,-.0758097,.380246,-.0855331,.047926,-.1155735,.1598961,.0632384,-.52309,-.3445593,-.2194703
160,1,.140688,.080628,.0949577,-.00955909,.268205,.158039,.0455325,.165038,-.0137983,.354738,.10671,.0159479,-.143214,.07521,-.09407,.393083,-.05509159,.103167,-.09018709,.1732473,.1100179,-.536297,-.3387901,-.249924
165,1,.14293,.0831783,.11916,.0198463,.311886,.159734,.0411215,.15508,.00144354,.377634,.138584,.0530679,-.137711,.104952,-.0975444,.403181,-.0212752,.156806,-.063332,.192726,.1506123,-.540892,-.3245661,-.276295
170,1,.140419,.0936563,.137446,.0559338,.354629,.164039,.0415998,.15004,.016448,.400635,.170625,.0956069,-.12659,.127769,-.0856203,.412673,.014334,.204589,-.0377225,.217183,.1812272,-.539263,-.3050281,-.297215
175,1,.133578,.11184,.149213,.0957466,.394421,.172727,.0460242,.151257,.0293278,.423708,.201592,.139527,-.110372,.142193,-.0588503,.423718,.0497224,.243164,-.0160934,.245208,.1983773,-.53409,-.284181,-.311964
180,1,.123302,.136757,.154457,.13586,.429799,.187099,.0532331,.159336,.0383412,.446839,.230739,.180345,-.0897546,.147528,-.0188871,.438254,.0826269,.270463,-.000896999999999981,.275342,.1992321,-.5280086,-.266494,-.3204936
185,1,.110845,.166758,.153753,.17275,.459912,.20769,.0619833,.174085,.0420846,.470037,.257841,.213616,-.065636,.14388,.0316726,.457799,.1107667,.285827,.005992,.306159,.1819434,-.523435,-.256421,-.323477
190,1,.0976374,.19967,.148158,.203173,.484381,.23409,.0710653,.194547,.0396493,.493316,.283137,.235428,-.0391998,.132093,.0895128,.483297,.1321077,.289834,.00350299999999998,.336223,.1459152,-.5224968,-.257888,-.3223368
195,1,.0850617,.232981,.139085,.224507,.503085,.264936,.0793982,.219128,.0307273,.516673,.3072,.242865,-.011961,.113632,.150879,.515051,.1451088,.283957,-.00847399999999998,.364,.091986,-.527012,-.273808,-.319161
200,1,.074246,.264078,.12813,.235029,.515909,.298066,.0860963,.245793,.015663,.540063,.330756,.234365,.0141832,.0904208,.211891,.552719,.1489327,.270116,-.029049,.387779,.022474,-.5385358,-.305698,-.3165728
205,1,.0658854,.290505,.116885,.23408,.522613,.330816,.0905055,.272309,-.00456796,.563371,.354479,.209919,.0370632,.0646387,.26885,.595377,.1435745,.250304,-.056425,.405728,-.058931,-.5583138,-.353452,-.3174158
210,1,.0601362,.310212,.106757,.222107,.522825,.36041,.0922158,.296499,-.0284483,.58639,.378778,.171066,.054423,.0385228,.318519,.641625,.1298912,.226326,-.088105,.416068,-.147453,-.587202,-.415324,-.324355
215,1,.0565906,.321794,.0988062,.200589,.516212,.384398,.0910503,.316474,-.0540544,.608809,.403637,.120722,.0642995,.0141826,.358347,.689666,.1095387,.199738,-.121205,.4174058,-.237625,-.6253665,-.488087,-.3393375
220,1,.054348,.324675,.0936309,.171856,.502742,.40102,.0870431,.330835,-.0792375,.63022,.428517,.062843,.065414,-.00655527,.386638,.737485,.0848129,.171907,-.152819,.4091111,-.323795,-.672071,-.567377,-.363103
225,1,.0521465,.319213,.0913107,.138803,.482992,.409475,.0804129,.338789,-.101837,.650135,.452347,.00195398,.0575339,-.0222724,.402625,.782952,.0583901,.144203,-.18041,.3916813,-.40067102,-.7254181,-.64818102,-.3948131
230,1,.0485585,.306718,.0914165,.104563,.458318,.41003,.0715391,.340211,-.119891,.668028,.473601,-.0573248,.0416544,-.0320318,.406475,.823951,.0330239,.118107,-.202155,.3669015,-.4637998,-.7822966,-.7253528,-.4319466
235,1,.0422123,.289326,.0930889,.0721728,.430973,.403968,.0609479,.33561,-.131821,.683383,.490468,-.110766,.0200469,-.0354149,.399233,.858515,.0112249,.0953630000000001,-.2171532,.3378841,-.509999,-.8384681,-.794149,-.4704211
240,1,.0320004,.269775,.0951649,.0442521,.403944,.393383,.049295,.326029,-.136605,.695733,.501065,-.154912,-.00400934,-.0325377,.382665,.884946,-.00504290000000001,.077915,-.2255229,.3087791,-.537577,-.88895534,-.850645,-.50507434
245,1,.0172576,.251058,.096336,.0227491,.380601,.380867,.0373473,.312887,-.133891,.704704,.503697,-.187352,-.0266878,-.0240382,.35907,.901957,-.0145982,.0677139999999999,-.2283089,.284265,-.546422,-.9286448,-.892056,-.5303848
250,1,-.00210438,.236047,.0953328,.00877671,.364189,.369148,.0259635,.297793,-.124052,.71004,.497106,-.206849,-.0442243,-.0110343,.331051,.908795,-.01718679,.066396,-.22727029,.2688562,-.5379,-.9530193,-.916889,-.5413303
255,1,-.0255303,.227117,.091104,.00254458,.357272,.360726,.0160663,.282347,-.108189,.711615,.4807,-.21336,-.053608,.00492395,.301286,.905343,-.01352172,.0749250000000001,-.22457242,.266168,-.514646,-.958951,-.924975,-.534308
260,1,-.051831,.225824,.0829663,.00340207,.361213,.357546,.00860678,.267959,-.0880641,.709421,.454695,-.207938,-.0532133,.0219145,.272297,.892154,-.00520471,.093254,-.22242193,.2782467,-.480235,-.9453673,-.917359,-.5079083
265,1,-.0792556,.232714,.0707197,.00998496,.375892,.360791,.00452534,.255707,-.065978,.70355,.420183,-.192577,-.0431929,.0377304,.246271,.870429,.00545962,.120185,-.22272904,.3051723,-.438848,-.9136219,-.896127,-.4633759
270,1,-.105625,.247264,.0546991,.0204412,.399663,.37076,.00470199,.24625,-.0445904,.694159,.379092,-.170028,-.0256088,.0499807,.224918,.841918,.01573921,.153413,-.2268228,.3449639,-.394946,-.8675268,-.864187,-.4047008
275,1,-.128528,.267966,.0357507,.0327055,.429554,.386863,.00989193,.239789,-.0267182,.68142,.334032,-.14363,-.00427533,.0562022,.20937,.808727,.02281357,.189765,-.2352605,.3938033,-.353,-.81300233,-.82505,-.33830733
280,1,-.145539,.292541,.015156,.0447979,.461752,.407745,.0206669,.236103,-.0151041,.665488,.28806,-.1171,.0157262,.0540086,.200158,.773092,.024131,.225649,-.2477431,.446596,-.317258,-.7573658,-.782588,-.2723338
285,1,-.154418,.318241,-.00548584,.0551128,.492223,.431492,.0373666,.234635,-.0121729,.646485,.244404,-.0943175,.0287659,.0412551,.197235,.737144,.0177462,.257588,-.2631282,.49770884,-.2915525,-.7083781,-.7408025,-.2156381
290,1,-.153309,.3422,-.0244105,.0626601,.517313,.455907,.0600648,.234626,-.0198104,.624502,.206143,-.0790647,.0294431,.0162166,.200067,.702666,.0025953,.282687,-.2795399,.5417235,-.2791317,-.6732229,-.7035667,-.1766999
295,1,-.140885,.361772,-.0398462,.0672421,.534287,.478829,.088564,.235258,-.0391715,.599633,.175922,-.0746789,.0133504,-.0222259,.207758,.670933,-.0213219,.299029,-.2945299,.5741332,-.2824369,-.6575826,-.6743119,-.1625716
300,1,-.116422,.374856,-.0501632,.0695489,.541681,.498461,.122419,.235833,-.070519,.57204,.155712,-.0836589,-.0222517,-.0744033,.219215,.64265,-.0528701,.305848,-.3053071,.5918442,-.3028739,-.6649017,-.6556989,-.1779637
305,1,-.0798349,.380141,-.053994,.0711514,.539431,.513646,.16098,.235916,-.113132,.54204,.146653,-.107252,-.0780385,-.139712,.233318,.618006,-.0898286,.303515,-.3089896,.593425,-.34057,-.6960445,-.649292,-.2246915
310,1,-.0316499,.377269,-.0503221,.0743948,.528804,.524059,.203456,.235452,-.165286,.510197,.148997,-.145097,-.15246,-.216517,.249075,.596817,-.1290612,.293352,-.3028742,.5791261,-.394172,-.749277,-.655294,-.301457
315,1,.0270615,.366915,-.0385137,.0822003,.512233,.530314,.248998,.23485,-.224289,.477422,.16216,-.195031,-.241816,-.302108,.265771,.578777,-.1667977,.277383,-.2847147,.5507467,-.460802,-.820593,-.672453,-.403976
320,1,.0947717,.35076,-.0183068,.0977946,.493019,.533921,.296783,.234996,-.286614,.445041,.184876,-.253102,-.340545,-.392747,.283083,.563728,-.1989884,.258023,-.2529654,.5113258,-.536185,-.904273,-.698143,-.525421
325,1,.169581,.331355,.0102246,.124377,.474996,.537116,.346088,.237206,-.3481,.414818,.215409,-.313863,-.441729,-.483811,.301119,.551914,-.221711,.23779,-.206978,.4647714,-.614982,-.993643,-.728681,-.657138
330,1,.249306,.311909,.0467352,.164766,.462258,.542586,.396339,.243115,-.404223,.388932,.251821,-.3709,-.537629,-.570024,.320428,.54417,-.231573,.219143,-.147143,.4155228,-.691328,-1.081799,-.759832,-.78945
335,1,.331577,.295975,.0906771,.221053,.458853,.553126,.447138,.254524,-.450413,.369885,.29225,-.417538,-.620342,-.645783,.341943,.542002,-.226085,.204329,-.074922,.3681759,-.759481,-1.162344,-.787423,-.912592
340,1,.413912,.287064,.14135,.294283,.468477,.57126,.498234,.273187,-.48242,.360324,.335139,-.447626,-.682465,-.705553,.366865,.547509,-.203951,.19529,.00721900000000003,.327127,-.814491,-1.229974,-.80795,-1.017604
345,1,.493815,.288211,.197922,.384197,.494122,.598905,.549467,.300583,-.49667,.362805,.379401,-.456268,-.717797,-.744317,.396507,.563165,-.16527,.193539,.095986,.2962,-.852775,-1.280962,-.819073,-1.097198
350,1,.568888,.301563,.259418,.489082,.537675,.637109,.600678,.33768,-.4906,.379517,.424503,-.440375,-.721991,-.758014,.432107,.591491,-.111596,.199995,.187519,.278257,-.872482,-1.313482,-.819892,-1.146494
355,1,.63693,.328002,.324672,.605713,.599543,.68589,.651585,.384721,-.462939,.411973,.47043,-.398972,-.693078,-.74397,.474628,.634641,-.045872,.214822,.277711,.274871,-.8736,-1.327719,-.810945,-1.163508
360,1,.696028,.3669,.392247,.729426,.678318,.744168,.701648,.441042,-.413913,.460718,.517558,-.333236,-.631872,-.701251,.524549,.693978,.027778,.237276,.362526,.286071,-.857785,-1.32585,-.793954,-1.14943
365,1,.744623,.416025,.460354,.854328,.770679,.809816,.749948,.504956,-.34533,.525091,.566451,-.246284,-.541983,-.630887,.581701,.769711,.10438,.265723,.438303,.310325,-.827985,-1.311694,-.771375,-1.108434
370,1,.78153,.471638,.526774,.973625,.871423,.879765,.795094,.573722,-.260534,.603071,.617607,-.142798,-.429635,-.535963,.645149,.860611,.178531,.297701,.501987,.344649,-.787947,-1.290246,-.745869,-1.047242
375,1,.805892,.528784,.588815,1.08007,.973783,.950163,.835176,.6436,-.164241,.691241,.671189,-.0285806,-.303096,-.421533,.713128,.963866,.244894,.330183,.551286,.384968,-.7417086,-1.266962,-.7198216,-.974285
380,1,.817112,.581745,.643339,1.16646,1.06991,1.01657,.867788,.710018,-.0622269,.784902,.726791,.0898936,-.171885,-.294353,.783071,1.07515,.298672,.359892,.584715,.426571,-.6931774,-1.247035,-.6950084,-.898676
385,1,.814759,.624623,.68686,1.22625,1.15155,1.07423,.890138,.767838,.0391086,.878354,.783284,.205911,-.0458351,-.162427,.851727,1.18879,.336112,.383712,.601627,.46469,-.645816,-1.2346251,-.672443,-.8291191
390,1,.7985,.65195,.715724,1.25406,1.21083,1.1183,.899224,.811701,.133241,.965312,.838746,.312909,.0659153,-.034421,.915345,1.29811,.354836,.399129,.60211,.495106,-.602436,-1.2321947,-.652403,-.7728307
395,1,.768074,.659268,.726374,1.24623,1.24102,1.14423,.892087,.836442,.214075,1.03944,.890522,.404865,.155824,.0810295,.969941,1.39589,.354143,.404578,.586962,.514646,-.565076,-1.240066,-.634575,-.734698
