msec,Experiment,Exper,HzpostEEMD1Ozsqua,HzpostEEMD2Ozsqua,HzpostEEMD3Ozsqua,HzpostEEMD4Ozsqua,HzpostEEMD5Ozsqua,HzpostEEMD6Ozsqua,HzpostEEMD7Ozsqua,HzpostEEMD1combinexpOzSquareMask,HzpostEEMD2combinexpOzSquareMask,HzpostEEMD3combinexpOzSquareMask,HzpostEEMD4combinexpOzSquareMask,HzpostEEMD5combinexpOzSquareMask,HzpostEEMD6combinexpOzSquareMask,HzpostEEMD7combinexpOzSquareMask,HzpostEEMD1combinexpOzSquarePseudo,HzpostEEMD2combinexpOzSquarePseudo,HzpostEEMD3combinexpOzSquarePseudo,HzpostEEMD4combinexpOzSquarePseudo,HzpostEEMD5combinexpOzSquarePseudo,HzpostEEMD6combinexpOzSquarePseudo,HzpostEEMD7combinexpOzSquarePseudo,HzpostEEMD1Ozdiamo,HzpostEEMD2Ozdiamo,HzpostEEMD3Ozdiamo,HzpostEEMD4Ozdiamo,HzpostEEMD5Ozdiamo,HzpostEEMD6Ozdiamo,HzpostEEMD7Ozdiamo,HzpostEEMD1combinexpOzDiamondMask,HzpostEEMD2combinexpOzDiamondMask,HzpostEEMD3combinexpOzDiamondMask,HzpostEEMD4combinexpOzDiamondMask,HzpostEEMD5combinexpOzDiamondMask,HzpostEEMD6combinexpOzDiamondMask,HzpostEEMD7combinexpOzDiamondMask,HzpostEEMD1combinexpOzDiamondPseudo,HzpostEEMD2combinexpOzDiamondPseudo,HzpostEEMD3combinexpOzDiamondPseudo,HzpostEEMD4combinexpOzDiamondPseudo,HzpostEEMD5combinexpOzDiamondPseudo,HzpostEEMD6combinexpOzDiamondPseudo,HzpostEEMD7combinexpOzDiamondPseudo,HzpostEEMD1OzMask,HzpostEEMD2OzMask,HzpostEEMD3OzMask,HzpostEEMD4OzMask,HzpostEEMD5OzMask,HzpostEEMD6OzMask,HzpostEEMD7OzMask,HzpostEEMD1OzPseudomask,HzpostEEMD2OzPseudomask,HzpostEEMD3OzPseudomask,HzpostEEMD4OzPseudomask,HzpostEEMD5OzPseudomask,HzpostEEMD6OzPseudomask,HzpostEEMD7OzPseudomask
1100,Experiment I,1,.018550169,.162511624,.076257268,.026522582,.018541994,.012403571,.012064254,.353556363,.202870105,.064201465,.022738236,.015571732,.010158218,3.53E-017,.099979891,.086289749,.048096086,.030610081,.017768456,.019048808,0,.342950845,.142475361,.070687497,.030194188,.018901081,.010932485,.013590906,.113434006,.177894337,.038870946,.042458816,.007007048,.027972041,.005522422,.486702,.157386,.076719,.044305,.027178,.008739,.004844,.14991721884487,.128660206342591,.0797091733100153,.0302624818655198,.0186186319360693,.0125479297451954,.0159208173586215,.291595807772092,.130349606709721,.0336793260831579,.035820252251581,.0231733130681657,.00343422676667389,.00173761270227928
1105,Experiment I,1,.02265795,.152070395,.077715529,.027012035,.018968484,.012703264,.011842815,.203807336,.203515608,.071940621,.023677641,.019056707,.010303439,3.53E-017,.063900743,.074770516,.048280586,.031139215,.017825287,.018415173,0,.403096497,.137345581,.067485179,.031247924,.019381503,.01110959,.013297377,.042980336,.16444612,.029686066,.043953072,.007149775,.033114798,.005521192,.47038,.134352,.071282,.044744,.028156,.010039,.004836,.235517697534613,.14258742567482,.0764781379563531,.0308659142474241,.0190862257895054,.0127896476792948,.0156589126999927,.166917971387611,.117833504169462,.0421458935276069,.036274121731423,.0236825519300048,.00342146554383343,.00182620193543678
1110,Experiment I,1,.426006742,.145916617,.079743412,.028228391,.019782037,.013265563,.01363726,.146074227,.17610882,.08172162,.025328007,.0218027,.011525222,1.06E-016,.082495415,.06598809,.048959985,.032276632,.019145672,.021781154,7.07E-017,.341204122,.12646955,.066246075,.033079541,.020415701,.011628167,.015285036,.063329421,.158325701,.028689397,.045943502,.007366633,.062686091,.006168143,.443061,.089393,.067739,.046212,.029777,.009832,.005407,.368959587931059,.150665246930584,.0692051101127176,.0323063871162832,.0200294712722124,.0132724408900355,.0182470444871715,.142143165672199,.112369889062036,.0451593828085358,.0373719618162176,.0250455035536182,.00236175843207119,.00210249530283266
1115,Experiment I,1,.435371561,.152368641,.081176481,.029105005,.020398288,.013661982,.013392105,.126698165,.170796712,.089238507,.026480275,.029729771,.011743168,1.06E-016,.139149669,.057688363,.050002444,.03320403,.019296072,.020918298,3.53E-017,.19447552,.110676988,.066551771,.034463065,.021014292,.011848706,.014953455,.373075689,.172442331,.036418503,.047080343,.007548206,.061285604,.006173564,.439577,.101444,.067083,.046337,.031316,.012576,.005403,.376220569211841,.146874755656025,.0726733402220917,.0332770974884936,.0206920130084358,.0135899958630132,.0178637277143334,.184791757113537,.10473428502847,.0490569723275058,.0382037118753644,.0257819570050799,.00418822088490727,.00220878239895957
1120,Experiment I,1,.442080844,.162488742,.087139487,.031115789,.021575037,.014450432,.016184758,.054473989,.178190311,.092840075,.029280078,.043725156,.014037524,1.41E-016,.099684354,.048054461,.052070243,.035057068,.021245575,.026002661,7.07E-017,.108205869,.099354824,.067279645,.037220833,.022359711,.012574358,.017933432,.415234551,.189301563,.047192052,.049300669,.007842783,.078270958,.007186092,.439904,.154148,.069183,.048822,.034114,.0134,.00629,.335749647828314,.13248094577758,.0687860060903245,.0355970220472516,.0220486525893362,.0142594044880896,.0219055473454574,.191465755874954,.10396041099511,.0512528621859265,.0401029290547983,.0278355398540061,.0211537350661685,.0026546559440828
1125,Experiment I,1,.452246564,.159882976,.099090235,.032683343,.022518779,.014999058,.01590146,.330523245,.176632195,.096795197,.030968932,.063807878,.014384537,1.41E-016,.046555007,.059002598,.054925393,.03676761,.02149124,.024828934,0,.157889199,.096762469,.06965482,.039430869,.023135714,.012845537,.017552999,.438467972,.203771313,.055807998,.05047441,.008083045,.06298363,.007201007,.442906,.180088,.07402,.048996,.036808,.023114,.006291,.381456678404296,.11495898843734,.0755436670153875,.0372554074338672,.0230250559105025,.014691983332578,.0213364182232051,.245249912139844,.107760271813382,.0589682447855172,.0417946649549309,.0289163192709034,.0350285700092513,.00279380768700602
1130,Experiment I,1,.404761158,.152467549,.114261513,.03613704,.024464735,.016242821,.021203945,.355234472,.185557263,.103888022,.037058775,.124904527,.020094798,7.07E-017,.317427368,.077132588,.059673083,.039975381,.024693921,.033595488,0,.185985348,.094155721,.072492309,.044177244,.025064545,.014025203,.022977055,.444494363,.222152076,.064859675,.053837086,.008528161,.040700551,.009148154,.446718,.209586,.081803,.053545,.042363,.195856,.007985,.359408153174023,.0998395807349722,.0768837657046827,.0412648034616355,.0252036609381733,.0157390397029379,.0288707100000947,.351461559994681,.120116526607558,.0646304146747181,.0453666041946391,.0322761171957824,.060354258944281,.00372938967911616
1135,Experiment I,1,.276908016,.157279382,.134599595,.039250006,.026182894,.017039394,.020847666,.387426958,.207436795,.115903443,.039844809,.100432656,.020709495,1.06E-016,.324070275,.101367431,.06738807,.043454853,.025013883,.03200105,3.53E-017,.17183172,.107397267,.081179119,.048470237,.026165302,.014314064,.022520169,.427510225,.233977428,.074924638,.056933763,.008860202,.037772797,.00917952,.465265,.304601,.091562,.054505,.048199,.173429,.007994,.241901693808088,.0929331427548183,.088336954753394,.044544247258753,.026862895110523,.0163388586156276,.0279715371896382,.408848142314795,.148546544609738,.0852082076073794,.049316772580381,.0339745490873343,.075148406194942,.00394657867318131
1140,Experiment I,1,.164398779,.163943998,.14762856,.04698969,.03050599,.019861995,.037661876,.339477009,.218826234,.131829651,.063166736,.085306665,.052389602,1.06E-016,.291494398,.128664242,.080592449,.050445061,.032436061,.054311681,7.07E-017,.196178783,.12821994,.094770626,.05858349,.030019772,.017513594,.03895323,.370412898,.225665088,.10122039,.065199745,.009822763,.029982961,.015529699,.488922,.350132,.11121,.065907,.062883,.065456,.013506,.158670633673407,.0945281119395343,.138476481978972,.0537011904446398,.0316295705098833,.0187684755039004,.0504575439792119,.394017609512557,.172238032121616,.127322426101739,.0580801561457117,.0417357252485682,.0305281005948301,.00817717732656512
1145,Experiment I,1,.164398779,.163943998,.14762856,.04698969,.03050599,.019861995,.037661876,.339477009,.218826234,.131829651,.063166736,.085306665,.052389602,1.06E-016,.291494398,.128664242,.080592449,.050445061,.032436061,.054311681,7.07E-017,.196178783,.12821994,.094770626,.05858349,.030019772,.017513594,.03895323,.370412898,.225665088,.10122039,.065199745,.009822763,.029982961,.015529699,.488922,.350132,.11121,.065907,.062883,.065456,.013506,.158670633673407,.0945281119395343,.138476481978972,.0537011904446398,.0316295705098833,.0187684755039004,.0504575439792119,.394017609512557,.172238032121616,.127322426101739,.0580801561457117,.0417357252485682,.0305281005948301,.00817717732656512
0,Experiment II,2,.000798624,.006598679,.011484221,4.11E-005,.000679398,.004437652,.034012364,.498196557,.081466495,.200852125,.019215873,.002293092,.022419318,.071641904,.002469541,.036281535,.004060046,.001607364,.007066347,.018440501,.024286968,.33047461,.001537424,.005110629,.0016471,.000545913,.014377755,.122887045,.00169,.001811,.036795,.03124,.007511,.019458,.029474,.003375,.000141,.009739,.007641,.001342,.023865,.036485,.47872777629113,.225595241611283,.035135561942394,.00136043308309075,.00540543164735275,.00362110477871977,.00652377898084895,.495173910334716,.0267227859004941,.00484225308578282,.0164048787738421,.0063737822140985,.000481202950227646,.00823889854656228
5,Experiment II,2,.000798624,.006598679,.011484221,4.11E-005,.000679398,.004437652,.034012364,.498196557,.081466495,.200852125,.019215873,.002293092,.022419318,.071641904,.002469541,.036281535,.004060046,.001607364,.007066347,.018440501,.024286968,.33047461,.001537424,.005110629,.0016471,.000545913,.014377755,.122887045,.00169,.001811,.036795,.03124,.007511,.019458,.029474,.003375,.000141,.009739,.007641,.001342,.023865,.036485,.47872777629113,.225595241611283,.035135561942394,.00136043308309075,.00540543164735275,.00362110477871977,.00652377898084895,.495173910334716,.0267227859004941,.00484225308578282,.0164048787738421,.0063737822140985,.000481202950227646,.00823889854656228
10,Experiment II,2,.001292139,.055025925,.238504911,.000130672,.000780077,.004335133,.030231763,.497089478,.019203239,.044608007,.015718298,.003649056,.009340449,.012827558,.491853987,.018198523,.005555197,.000609729,.007431721,.002807308,.016736733,.002498467,.005233785,.004119487,.004336521,.000381481,.004367935,.02430835,.181563,.00634,.045635,.015057,.013426,.006716,.002633,.003762,.007686,.007379,.007589,.001206,.013652,.011573,.00508856838964935,.0468151725720845,.0114152945164842,6.97204381857008E-006,.00619067370287088,.00304196482137818,.00414819116005578,.00218204092267338,.00829342420801192,.017680320761026,.0133851595291413,.00257093511441215,.000567556582556509,.00933264343694835
