msec,Experiment,Exper,HzpostEEMD1T5squa,HzpostEEMD2T5squa,HzpostEEMD3T5squa,HzpostEEMD4T5squa,HzpostEEMD5T5squa,HzpostEEMD6T5squa,HzpostEEMD7T5squa,HzpostEEMD1combinexpT5SquareMask,HzpostEEMD2combinexpT5SquareMask,HzpostEEMD3combinexpT5SquareMask,HzpostEEMD4combinexpT5SquareMask,HzpostEEMD5combinexpT5SquareMask,HzpostEEMD6combinexpT5SquareMask,HzpostEEMD7combinexpT5SquareMask,HzpostEEMD1combinexpT5SquarePseudo,HzpostEEMD2combinexpT5SquarePseudo,HzpostEEMD3combinexpT5SquarePseudo,HzpostEEMD4combinexpT5SquarePseudo,HzpostEEMD5combinexpT5SquarePseudo,HzpostEEMD6combinexpT5SquarePseudo,HzpostEEMD7combinexpT5SquarePseudo,HzpostEEMD1T5diamo,HzpostEEMD2T5diamo,HzpostEEMD3T5diamo,HzpostEEMD4T5diamo,HzpostEEMD5T5diamo,HzpostEEMD6T5diamo,HzpostEEMD7T5diamo,HzpostEEMD1combinexpT5DiamondMask,HzpostEEMD2combinexpT5DiamondMask,HzpostEEMD3combinexpT5DiamondMask,HzpostEEMD4combinexpT5DiamondMask,HzpostEEMD5combinexpT5DiamondMask,HzpostEEMD6combinexpT5DiamondMask,HzpostEEMD7combinexpT5DiamondMask,HzpostEEMD1combinexpT5DiamondPseudo,HzpostEEMD2combinexpT5DiamondPseudo,HzpostEEMD3combinexpT5DiamondPseudo,HzpostEEMD4combinexpT5DiamondPseudo,HzpostEEMD5combinexpT5DiamondPseudo,HzpostEEMD6combinexpT5DiamondPseudo,HzpostEEMD7combinexpT5DiamondPseudo,HzpostEEMD1T5Mask,HzpostEEMD2T5Mask,HzpostEEMD3T5Mask,HzpostEEMD4T5Mask,HzpostEEMD5T5Mask,HzpostEEMD6T5Mask,HzpostEEMD7T5Mask,HzpostEEMD1T5Pseudomask,HzpostEEMD2T5Pseudomask,HzpostEEMD3T5Pseudomask,HzpostEEMD4T5Pseudomask,HzpostEEMD5T5Pseudomask,HzpostEEMD6T5Pseudomask,HzpostEEMD7T5Pseudomask
745,Experiment II,2,.194503644,.110685792,.081338814,.039498762,.008262162,.00640784,7.76E-018,.445474466,.077908426,.055816046,.000999721,.009009704,.007810715,.002897426,.423734926,.233474091,.147058966,.027857852,.014045227,.005966207,.004972866,.233615842,.171919716,.077096418,.040969555,.007923929,.00587458,0,.292278814,.193765726,.094296149,.028395309,.005408975,.005706296,.005260559,.251419938,.164722324,.090790501,.020050605,.004862596,.004768084,.003970093,.0746731551895747,.148765808874306,.0652127858639735,.0274262541982799,.0134053890628223,.00853768720227141,.00506574056918054,.234280418823021,.191292269751103,.0744892343548571,.0345317227567782,.0157905247933681,.0072997114334967,.00547233541722141
750,Experiment II,2,.19075656,.103355854,.081083862,.040328598,.008362505,.006450842,1.51E-017,.416533993,.064513389,.052313226,.010184115,.009097663,.007895277,.002943404,.441749587,.209353331,.16712382,.027084702,.01409871,.00608495,.004966637,.302819174,.178638199,.072184885,.040657282,.00818378,.005928257,0,.441695789,.205410485,.080632793,.029043084,.00537848,.005829517,.005327994,.329355327,.174718532,.096880026,.020698822,.00486824,.004810244,.003973385,.269845427897433,.150542861505798,.0625970691374258,.0256025657733676,.0132606986754774,.00847176560226698,.00502856036076436,.19275783224841,.176022776890834,.0692577801085448,.0347230212395616,.0158512415379396,.00723958453552737,.00544618142428684
755,Experiment II,2,.175910133,.100463113,.079788653,.041124215,.008477309,.006586753,1.7E-017,.389864695,.046774904,.049740548,.0120644,.009181581,.007963626,.002897504,.00494188,.185840935,.16292848,.026925444,.014172009,.006208489,.004905213,.407431196,.175946095,.073539324,.040466964,.008412151,.006046339,0,.422084162,.197630042,.075949268,.029906044,.005350837,.005957695,.005410817,.422452101,.183464786,.099898737,.020879859,.004877197,.004849844,.003987936,.051706260547231,.1591470432303,.0633394043525195,.0238492577279916,.0131315622079584,.00841583627867334,.0050711112527231,.234473621448989,.151850262949898,.0638034035436565,.0348558127063209,.0158354641546353,.00717703039650255,.00550442494201288
760,Experiment II,2,.082607677,.102862573,.07683593,.041500836,.008584725,.006624831,7.93E-018,.075828353,.034746679,.04813055,.012338109,.009252236,.008021314,.002945608,.104188758,.160538522,.134184495,.027159003,.014233142,.006341275,.004907991,.445620107,.17269032,.075644035,.040188157,.008681587,.006094011,3.53E-017,.404877467,.199432981,.073942618,.031129101,.005321125,.006089403,.005483005,.435321562,.1843524,.102680164,.020578151,.004880764,.004892853,.003992077,.0561311054359129,.173462894144489,.0675003761698136,.0222171976962094,.0129809146917256,.00835768827461721,.00503702218138084,.231169337869741,.135079576952828,.0599113804815589,.0350068576700899,.0158509435794805,.00711149319155053,.00547769572143887
765,Experiment II,2,.139271572,.108077896,.074942968,.041181827,.008710917,.0067661,2.44E-019,.094541171,.034482045,.047127048,.011375545,.009313533,.008067422,.002899028,.118688295,.147409189,.105184186,.027887177,.014317101,.00647931,.004842191,.451295186,.172884101,.078025837,.040027753,.008918493,.006213964,0,.450387529,.228293602,.070508432,.032449469,.005307884,.006228255,.00557585,.375774671,.182191345,.106667043,.019971911,.004889238,.004936922,.004006917,.285812857243128,.180498663218913,.0758187236214393,.0204893259085389,.0128603992636659,.0083082864093919,.00508241389989482,.241031750243824,.126016675805747,.0579060383901829,.0352333387751407,.0156660376402657,.00703959195110295,.00553291924494308
770,Experiment II,2,.33513753,.115706594,.074545557,.040707262,.008834472,.006798676,1.91E-017,.349213157,.037963311,.046729747,.009775022,.009362578,.008095698,.002949199,.098123755,.154857742,.086510788,.029219587,.014393426,.006628717,.004853684,.472959175,.17576172,.080802668,.03980811,.009205719,.006255735,3.53E-017,.44941204,.253971841,.068598622,.033539286,.005309223,.006371653,.0056534,.344828886,.186549659,.113181564,.019002351,.004887854,.004978788,.004011973,.0513105099215779,.180493763239442,.0885375951035413,.0187825369910533,.012725560781769,.00825715339550906,.00505160876904443,.340943761216197,.126489151265617,.05667018213704,.0354266648385442,.0154412223416439,.00696582954106486,.00550616254395968
775,Experiment II,2,.018236363,.124012782,.075159125,.040434771,.008983655,.006944104,8.11E-018,.123153323,.042090954,.046802188,.00697893,.009413209,.008132488,.002902039,.137942753,.165081681,.075532296,.031020221,.014493861,.006784095,.004784116,.007215287,.177341674,.084637913,.039311787,.009463544,.006377366,0,.021293759,.251487285,.067532882,.034529536,.005332395,.006524241,.005757672,.281994233,.190971116,.119483523,.017839064,.004887626,.005025103,.00402709,.0556178763494001,.180388687851696,.10487163683446,.0171981020467547,.012622495644772,.00821346587145625,.00509965720727066,.391891070604761,.128078602211786,.0551362992010292,.035375590123193,.0146926141435007,.00688103998087189,.00555781826024207
780,Experiment II,2,.467048843,.130317921,.076970947,.040384924,.009119617,.006970591,1.91E-017,.159674161,.051956085,.047348716,.003012128,.00946293,.008145274,.002954221,.229716971,.166223297,.068660586,.033242415,.014591348,.00695353,.004804019,.005454318,.171712095,.090401222,.038188188,.009784208,.006413218,0,.077552416,.231964865,.065571664,.035545132,.005383965,.006682256,.00584113,.249873178,.185843896,.121415899,.017147011,.004874037,.00506501,.00403313,.312017749690194,.171090647844228,.119780887332504,.0159839543012344,.0125059190666144,.00816876767299193,.00507235905540905,.311650907241079,.176778386173045,.0526334769516046,.0350390334812354,.013491946150111,.00679511970141483,.00553161727165905
785,Experiment II,2,.48427086,.134387427,.07959438,.040595454,.009276248,.007118568,3.08E-018,.377571966,.065432002,.048182715,.001878684,.00952832,.008186321,.002906581,.336607504,.15884918,.065046242,.035807016,.01471328,.007130128,.004731235,.373300525,.155698594,.094553123,.036754297,.010066977,.006536028,0,.2005188,.210010923,.06354943,.036643295,.005473998,.006851641,.005958291,.292219957,.182525185,.122829331,.017492011,.004862276,.005115231,.004048511,.296087348217269,.153232656108072,.122767545901101,.0150013356111492,.0124207891486606,.00813015250264892,.00512289023881852,.169517964460446,.236440092270803,.0502941631223176,.0348702999680212,.0105837195645894,.00669252428190297,.005579197545816
790,Experiment II,2,.005624907,.140264357,.083415465,.041135347,.0094165,.007138426,6.38E-018,.407513879,.072451842,.049004582,.006930285,.009600101,.008191755,.002960725,.309196577,.148303898,.061551506,.038649629,.014838009,.007324341,.004759245,.155696533,.135299669,.092671004,.035408946,.010387881,.006565878,0,.272540701,.184124845,.063113129,.037658347,.005651718,.007027376,.006048132,.323253419,.197097435,.125063533,.018695239,.004835751,.005155003,.00405561,.284391509043747,.161978426720442,.111020398479303,.0142850638968137,.0123226362130699,.00809146270341288,.00509935656068603,.193819482167471,.172929527201423,.0495112754818874,.0349821438892535,.00527827906759302,.00658825221745284,.00555416372182115
